id,name,lat,lng,category,country,city,sources,url,tags
6352,Bucuresti in Tranzitie,44.437711,26.097367,ecovillage,RO,Bucharest,Murmurations,intranzitie.org,Transition Group
6353,Koganei,35.7041083,139.5106759,ecovillage,JP,Koganei-shi &amp; Kokubunji-shi,Murmurations,irukarma.wixsite.com/ttkoganei,Transition Group
6354,Jardin communautaire 2520,47.066161,7.0964599,ecovillage,CH,La Neuveville ,Murmurations,jardin-communautaire2520.com,Transition Group
6355,Jardin-Forêt d’Eos,46.3792305,6.2082088,ecovillage,CH,Eysins,Murmurations,jardin-foret.ch/jardin-foret-eos,Transition Group
6356,Koh Phangan Island Community,9.705672999,100.0219345,ecovillage,TH,Koh Phangan,Murmurations,kohphangan-recycling.com,Transition Group
6357,Local 20/20 of Port Townsend & Jefferson County,48.117039,-122.760447,ecovillage,US,Port Townsend,Murmurations,l2020.org,Transition Group
6358,Lagoa em Transição / Transition Lagoa,37.135618,-8.451436,ecovillage,PT,Lagoa,Murmurations,lagoaemtransicao.weebly.com,Transition Group
6359,Landau im Wandel,49.1982825,8.1123441,ecovillage,DE,,Murmurations,landauimwandel.wordpress.com,Transition Group
6360,Le Centre d’Ailleurs,45.654827,3.430401,ecovillage,FR,Saint Jean des Ollières,Murmurations,lecentredailleurs.com,Transition Group
6361,L’écoclicot,45.6950021,4.7928827,ecovillage,FR,saint genis laval,Murmurations,lecoclicot.blogspot.com,Transition Group
6362,Le Montfortois en Transition,48.7729352,1.8124008,ecovillage,FR,Montfort l'Amaury ,Murmurations,lemontfortoisentransition.org,Transition Group
6363,Les Mureaux en transition,48.9958047,1.9090697,ecovillage,FR,Les Mureaux,Murmurations,lesmureaux.top,Transition Group
6364,LFéSA Transition,47.7122707,1.9843596,ecovillage,FR,45240 La Ferté Saint Aubin,Murmurations,lfesa-transition.fr,Transition Group
6365,Lippe im Wandel e.V.,51.9348462,8.881942,ecovillage,DE,Detmold,Murmurations,lippeimwandel.de,Transition Group
6366,Celebrate Bethlehem CT,41.638153,-73.208574,ecovillage,US,"Bethlehem, CT",Murmurations,littletownbulletinboard.wikispaces.com/Transition+Town+Group,Transition Group
6367,Montbrison.Forez,45.561285,4.805186,ecovillage,FR,,Murmurations,loireentransition.com,Transition Group
6368,Luzern im Wandel – Transition Luzern,47.0505452,8.3054682,ecovillage,CH,Luzern,Murmurations,luzernimwandel.ch,Transition Group
6369,People into Permaculture,50.8193858,-0.126596,ecovillage,,"Brighton,",Murmurations,magneticideals.org/home/permaculture,Transition Group
6370,La Tatouthèque,46.7805492,6.6438961,ecovillage,CH,Yverdon-les-Bains,Murmurations,maps.transitionnetwork.org/fr/group/la-tatoutheque,Transition Group
6371,Ames,42.02335,-93.625622,ecovillage,US,"Ames, Iowa",Murmurations,maps.transitionnetwork.org/group/ames,Transition Group
6372,Forest Green Rovers Supporters Society,51.696254162,-2.217174446,ecovillage,GB,Nailsworth,Murmurations,fgrsc.com,Co-op
6373,"Football for Hope, Peace and Unity Co-operative",51.46630404,-0.363445342,ecovillage,GB,Hounslow,Murmurations,fhpuenterprise.org,Co-op
6374,Fibre GarDen,54.31230921,-2.455732254,ecovillage,GB,Sedbergh,Murmurations,fibregarden.blogspot.co.uk,Co-op
6375,Filling Good,51.529250926,-0.721023623,ecovillage,GB,Maidenhead,Murmurations,fillinggood.co.uk,Co-op
6376,Finedon Community Shop and Post Office,50.868554356,-0.406983159,ecovillage,GB,Worthing,Murmurations,findonvillage.org,Co-op
6377,National Fire Savers Credit Union,51.503619886,-0.09858564,ecovillage,GB,London,Murmurations,firesavers.org.uk,Co-op
6378,First Aid Training Cooperative,56.426905156,-2.972639014,ecovillage,GB,Newport-On-Tay,Murmurations,firstaidtrainingcooperative.co.uk,Co-op
6379,First Choice Credit Union,53.703804921,-2.322809297,ecovillage,GB,Rossendale,Murmurations,firstchoicecu.net,Co-op
6380,First Milk,55.860657759,-4.428675719,ecovillage,GB,Paisley,Murmurations,firstmilk.co.uk,Co-op
6381,First Rate Credit Union,53.747122901,-2.887731806,ecovillage,GB,Preston,Murmurations,firstratecu.co.uk,Co-op
6382,First Take Video,53.402850758,-2.971908185,ecovillage,GB,Liverpool,Murmurations,firsttake.org.uk,Co-op
6383,Firth Park Working Men's Club,53.410529763,-1.449653494,ecovillage,GB,Sheffield,Murmurations,firthparkclub.com,Co-op
6384,Fishburn and District Workmen's Social Club,54.681909516,-1.437084493,ecovillage,GB,Stockton-on-Tees,Murmurations,fishburnwmc.co.uk,Co-op
6385,Fisher Football Club,51.594981143,0.02155532,ecovillage,GB,London,Murmurations,fisherfc.org,Co-op
6386,United Fishermens Co-operative Society (St Ives),50.21529945,-5.47805055,ecovillage,GB,St Ives,Murmurations,fishermensco-op.co.uk,Co-op
6387,Fittleworth Community Shop,50.956172302,-0.563496469,ecovillage,GB,Fittleworth,Murmurations,fittleworth-pc.org.uk/fittleworth-community-shop,Co-op
6388,Ballylurgan Co-operative Agricultural Society,54.375035001,-7.31951459099997,ecovillage,,Fivemiletown,Murmurations,fivemiletown.com,Co-op
6389,Flamesavers Credit Union,53.023845233,-2.161642763,ecovillage,GB,Hanley,Murmurations,flamesavers.co.uk,Co-op
